Name,Easting,Northing,Date,Na23 (ug/L),Mg24 (2+) (ug/L),K39 (ug/L),Ca40 (2+) (ug/L),F- (umoles/L),Cl- (umoles/L),NO2- (umoles/L),Br- (umoles/L),NO3- (umoles/L),PO4 (umoles/L),SO4 (umoles/L),Ca+Mg mg/L,original alk w/Ca+Mg fill (mg/L)
Pasture,383575,4026572,5/25/2018,1878.3513,35208.083,254.708,63716.57,4.915,57.481,0,0,0,0,25.017,98.925,277.0028632
Pasture,383575,4026572,11/10/2018,2098.083602,35808.92,475.682,61793.38,8.434,61.724,BDL,BDL,7.158,4.538,28.18,97.602,274.5223957
Quaking Aspen,384952,4026666,5/24/2018,1307.677062,23592.628,357.096,66018.506,2.984,22.513,0,0,0,1.867,16.604,89.611,230
Quaking Aspen,384952,4026666,6/26/2018,1182.84113,24713.813,297.201,64476.036,4.576,29.672,0,0,0,0,23.157,89.19,326
Quaking Aspen,384952,4026666,7/13/2018,1201.227083,25415.652,390.651,67476.064,4.126,28.553,0,0,0,6.988,24.605,92.892,312
Quaking Aspen,384952,4026666,8/5/2018,1897.166729,28378.07368,2037.455439,70940.65602,5.00605807,27.3473321,1.496841295,0,12.24907886,4.718889347,22.55123431,99.319,284
Quaking Aspen,384952,4026666,9/1/2018,1667.605223,27975.67452,1731.530307,65035.76499,5.170456941,25.91820114,1.461051965,0,13.65805946,4.316664637,22.14623866,93.011,288
Quaking Aspen,384952,4026666,10/13/2018,1675.701124,28111.63884,2174.250938,66363.75397,5.372964242,25.6880658,1.428433137,0,11.6874739,4.310663763,21.97514489,94.475,276
Quaking Aspen,384952,4026666,11/10/2018,1370.110903,26334.77913,498.1687145,65931.39479,7.681526256,29.91893738,BDL,3.357287051,11.13436673,6.360956008,24.24525177,92.266,242
Queen Anne,378928,4021527,10/11/2018,3820.969883,34245.16448,1887.131857,51698.63898,8.581536211,101.1196884,0,1.823055772,11.54585842,2.197617679,62.27198786,85.944,252.6533865
Rainbow,384719,4028488,5/24/2018,1312.13501,32652.132,331.539,65850.15,5.45,30.592,0,0,0,2.698,25.017,98.502,280
Rainbow,384719,4028488,6/26/2018,1307.411067,34127.639,224.555,70290.961,5.622,33.8,2.42,0,2.744,0,27.862,104.419,305
Rainbow,384719,4028488,7/13/2018,1425.412379,37089.668,1197.455,74304.584,5.475,34.573,0,0,0,0,26.299,111.394,315
Rainbow,384719,4028488,8/5/2018,2120.904304,37734.45428,1998.453963,70504.11424,6.560936746,37.67203186,0,0,2.356704676,3.572851735,26.68806122,108.239,352
Rainbow,384719,4028488,9/1/2018,2066.544475,38549.46054,2400.723483,67419.00329,6.758526319,32.9168048,0,2.386590345,15.05541673,3.627436605,26.16312957,105.968,323
Rainbow,384719,4028488,10/13/2018,1873.064465,36969.00861,2004.850503,64471.34149,6.649321019,31.60939906,0,2.694146304,5.426181603,3.735821615,27.03581059,101.44,316
Rainbow,384719,4028488,11/10/2018,1553.127353,34541.19915,604.5419185,67325.19828,9.225668832,34.33707447,BDL,BDL,3.722942859,3.320727673,27.15879221,101.866,328
Riggs,380938,4046988,6/25/2018,2072.216302,18144.286,362.886,45557.566,4.934,73.168,0,0,0,0,91.012,63.702,244
Riggs,380938,4046988,6/25/2018,2208.784028,18918.285,482.367,47459.016,4.442,73.73,2.83,0,1.95,0,89.742,66.377,244
Riggs,380938,4046988,7/12/2018,2092.394726,18244.033,379.311,46076.911,4.01,60.359,0,0,0,0,75.769,64.321,204
Riggs,380938,4046988,8/4/2018,2601.608728,22285.26763,1925.232389,48658.48504,5.149707299,66.35798732,1.420858154,0,11.17433097,2.689056917,82.10394393,70.944,230
Riggs,380938,4046988,8/31/2018,4101.880789,21477.53922,2989.793369,45052.00823,5.187589672,66.35610287,0,0,6.726353207,0,84.83941313,66.53,200
Riggs,380938,4046988,10/14/2018,2740.912973,22143.32806,2075.490102,51400.98426,5.236310878,63.5676268,0,1.558244002,11.84264436,2.017743801,85.66871983,73.544,210
